,names,sentence,tags
13,[],Some mountains form when the big slabs of rock—called tectonic plates—that make up the Earth’s crust crash into each other.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
14,[],"Over millions of years, the sheets of rock push up and over one another, creating the mountain.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
15,[],Others form when vents in the Earth’s surface erupt and spew lava out onto the ground.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
16,[],"The lava piles up and cools. Over millions of years, the many layers of hard lava become a mountain.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
17,[],Mountains are on every continent.,"['O', 'O', 'O', 'O', 'O', 'O']"
18,[],"The longest mountain range is over 40,000 miles long—and 90 percent is under the ocean!","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
19,['Mid-Ocean Ridge'],"Called the Mid-Ocean Ridge, it wraps around the globe like the seams of a baseball.","['O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
20,['Andes'],The longest aboveground mountain range is the Andes.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'O']"
21,[],"Running along the entire west coast of South America through seven different countries—including Argentina, Chile, and Colombia—it’s 4,700 miles long.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
22,['Mount Everest'],"Mount Everest, on the border of Nepal and China in Asia, is the highest mountain above sea level in the world.","['B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
23,[],"Towering at just over 29,000 feet it would take almost 5,000 grown men stacked on top of each other to reach that high.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
24,[],"Mountains often have extreme climates, and the animals that live there have some amazing adaptations.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
25,['Himalaya'],"For instance, the red panda in Asia’s Himalaya grows a thick coat.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'O', 'O', 'O', 'O', 'O']"
26,[],"Living in the mountains of North America, snowshoe hares have snow-white coats that help them hide from mountain lions and other predators.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
27,[],Grizzly bears and hoary marmots living in the mountains of North America survive the cold winters by hibernating—hiding out in dens and resting—to conserve energy when food is hard to find.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
28,[],"When grizzly bears hibernate, their body temperature drops by about 12 degrees, and they take a breath only once about every 45 seconds.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
29,"[""Europe's Alps""]","Other animals, like mountain goats and ibexes living in Europe's Alps, migrate to lower, warmer elevations during the winter.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
30,[],These animals have tough but flexible hooves to steady themselves when climbing up and down the rocky terrain looking for food.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
31,[],"Just like these animals, you can also have fun on a mountain—you’ll just need to figure out how to hike without hooves!","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
32,"['Mount Everest', 'Tibet']",There’s no customs booth on the summit of Mount Everest – the highest mountain on Earth – where a frontier straddles Nepal and Tibet.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'O']"
33,"['Sagarmatha', 'Chomolungma', 'Everest']","Nepalis call their famous hill Sagarmatha (“Sky Head”), Tibetans know it as Chomolungma (“Mother of the World”), while geologists lump Everest (named after legendary 19th-century British land surveyor George Everest) in the youth category.","['O', 'O', 'O', 'O', 'O', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'O']"
34,"['Mount McKinley', 'Himalayan']","North America’s highest peak (formerly named Mount McKinley) may max out at an elevation barely above Himalayan low camps, but never mind all that.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
35,['Mount Denali'],"Few bits of tectonically bent granite are as impossibly enormous as Mount Denali, which rears nearly three-and-a-half vertical miles up above its relatively low 2,000-foot starting point.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
36,['Everest'],"From base to summit, that’s over a mile taller than Everest.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'O']"
37,['Alaska Range'],The crown of the 600-mile-long Alaska Range is big enough to create its own weather patterns.,"['O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
38,['Mount Denali'],Scientists say Mount Denali is still on the rise – at a steady-ish rate of about half a millimeter per year.,"['O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
39,['Kilimanjaro'],"Probably just by being Kilimanjaro – the world’s tallest freestanding peak, a dormant (but still simmering) volcano, and a not-so-microcosmic world unto itself.","['O', 'O', 'O', 'O', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
40,['Kilimanjaro'],"A non-technical “walk up” climb with several established routes to choose from, Kilimanjaro is far too susceptible to being minimized as a multi-day hike.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
41,"['Caucasus Mountains', 'Mount Elbrus', 'Mont Blanc', 'alps']","Perched on the European side of the Caucasus Mountains – which forms a continental divide with Asia – twin-peaked Mount Elbrus edges out Mont Blanc (see below) and all those glitzier alps to the west by at least a half-mile of perma-frosted vertical, making it Europe’s (and Russia’s) highest hill.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
42,"['Elbrus’ west peak', 'Standard Route']","During summer climbing season, the most popular passage to the summit of Elbrus’ west peak (the higher of the two) is along the Standard Route via the mountain’s south face, where a cable car can take climbers as high as 12,500 feet.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'I-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
43,['Mount Aconcagua'],Mount Aconcagua was in an earlier life an active volcano on the edge of a shallow dinosaur-era sea.,"['B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
44,['Altai Mountains'],"In Mongolia, it’s easy for a traveler to be quickly swept away by the endless green steppes, the heartiness of the Kazakh nomads, and the rolling landscapes that define the Altai Mountains.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'O']"
45,['Uhuru'],"The highest peak, Uhuru, is 19,340 feet high.","['O', 'O', 'O', 'O', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'O']"
46,['Matterhorn'],"Nestled in the Swiss Alps, the Matterhorn is the most recognized mountain on the European continent.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
47,['Mount Denali'],"Mount Denali, located in Denali National Park, Alaska, is the highest mountain in North America at 20,320 feet.","['B-mount', 'I-mount', 'O', 'O', 'O', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
48,['Mount Denali'],Mount Denali’s tremendous size and beauty create a magnetism that continually draws climbers from around the world.,"['B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
49,['Himalaya'],The Himalaya in Asia formed from one such massive wreck that started about 55 million years ago.,"['O', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
50,['Himalaya'],Thirty of the world’s highest mountains are in the Himalaya.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'O']"
51,['Mount Everest'],"The summit of Mount Everest, at 29,035 feet (8,850 metres), is the highest point on Earth.","['O', 'O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
52,['Mauna Kea'],"The tallest mountain measured from top to bottom is Mauna Kea, an inactive volcano on the island of Hawaii in the Pacific Ocean.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
